species;xcoord;ycoord
CHASTR;748445.269;6262983.918
CHASTR;781568.1175;6289941.338
CHASTR;762044.5104;6287442.77
CHASTR;707749.0209;6224477.909
CHASTR;844436.4707;6323603.283
CHASTR;822263.0311;6320879.516
CHASTR;676669.6575;6168031.15
CHASTR;804187.1887;6312688.362
CHASTR;764012.6054;6297421.733
CHASTR;772394.7393;6316935.282
CHASTR;772263.1677;6316208.481
CHASTR;772263.1677;6316208.481
CHASTR;772351.7715;6316275.387
CHASTR;791770.5772;6332216.03
CHASTR;677437.4677;6169549.431
CHASTR;750444.3262;6278152.806
CHASTR;675986.2442;6232558.841
CHASTR;743034.166;6254470.753
CHASTR;658037.0889;6234068.814
CHASTR;765568.1165;6263097.986
CHASTR;763837.3696;6302257.436
CHASTR;808467.0153;6320637.633
CHASTR;792654.4245;6291528.362
CHASTR;696726.0305;6230502.369
CHASTR;696704.9918;6228896.44
CHASTR;677286.5499;6168929.939
CHASTR;778947.2009;6307742.515
CHASTR;646624.6844;6240805.906
CHASTR;819605.77;6307827.938
CHASTR;789993.4631;6291768.478
CHASTR;811373.0033;6382886.966
CHASTR;792848.9885;6290468.551
CHASTR;792714.1031;6290661.1
CHASTR;791570.5079;6289661.44
CHASTR;762929.2567;6302040.806
CHASTR;768611.7507;6269182.053
CHASTR;752302.409;6263470.046
CHASTR;752540.5488;6263060.727
CHASTR;747700.6142;6262089.083
CHASTR;745050.6914;6260547.039
CHASTR;691047.6777;6194621.222
CHASTR;696630.7487;6235622.332
CHASTR;696076.4503;6235945.044
CHASTR;696103.4861;6232265.204
CHASTR;696361.0838;6233221.149
CHASTR;695665.5251;6231798.551
CHASTR;716141.6213;6244568.573
CHASTR;716614.7056;6244669.83
CHASTR;706013.1318;6242705.726
CHASTR;715999.8347;6244123.556
CHASTR;716570.1448;6244947.627
CHASTR;715585.733;6244456.032
CHASTR;771163.2095;6301616.502
CHASTR;655637.0932;6229986.239
CHASTR;649465.3529;6219676.272
CHASTR;709376.5204;6243676.901
CHASTR;728900.5565;6277839.925
CHASTR;728779.9127;6278154.801
CHASTR;766534.4403;6278370.691
CHASTR;770138.4185;6284783.021
CHASTR;777801.7218;6286051.008
CHASTR;777918.3755;6286374.643
CHASTR;713170.465;6236475.302
CHASTR;710119.8689;6242531.576
