"HIEVIR"	"LACBIL"	"NATMAU"	"NATNAT"	"PODMUR"	"ZAMLON"	"CORGIR"	"ANGFRA"	"MALMON"	"PODLIO"	"RHISCA"	"VIPASP"	"CHASTR"	"TARMAU"	"TIMLEP"	"PSAALG"	"PSAEDW"	"EMYORB"	"MAULEP"	"CORAUS"	"HEMTUR"	"ZOOVIV"	"LACAGI"	"VIPBER"
"ID551"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID58"	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID580"	11	19	20	5	16	1	2	0	0	1	0	6	0	0	0	0	0	0	0	3	0	0	0	0
"ID581"	4	22	7	7	35	9	2	5	1	3	0	5	0	0	0	0	0	0	0	0	0	0	1	0
"ID582"	1	7	10	5	5	15	4	11	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ID583"	2	1	11	2	6	8	7	4	7	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0
"ID584"	0	0	3	3	11	1	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"ID585"	0	11	1	0	16	1	0	3	3	1	1	0	0	6	0	0	0	0	0	0	0	0	0	0
"ID586"	0	13	2	0	3	0	0	3	1	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0
"ID587"	0	15	2	1	5	2	0	2	7	0	2	2	1	0	7	0	0	0	0	0	0	0	0	0
"ID588"	0	15	4	3	15	1	2	1	5	1	2	3	2	1	0	0	0	0	0	0	0	0	0	0
"ID589"	0	6	1	0	12	1	2	2	4	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
"ID59"	0	2	0	2	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"ID590"	0	14	0	1	21	0	0	0	6	4	2	0	0	1	1	0	0	0	0	0	0	0	0	0
"ID591"	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
"ID619"	4	5	2	3	3	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0
"ID620"	11	35	7	11	15	0	1	5	0	2	0	8	0	0	0	0	0	0	0	2	0	0	0	0
"ID621"	2	28	8	12	40	13	0	10	6	11	0	15	0	0	3	1	0	0	0	6	0	0	0	0
"ID622"	0	19	9	6	17	13	6	11	16	16	2	0	0	0	6	0	0	0	0	0	0	0	0	0
