"";"PLOT";"X5_min";"X10_min";"X15_min";"total";"year";"julian_date";"altitude";"PROPNATFOR"
"528";1327;2;0;3;3;2006;353;446;0
"529";1328;1;0;0;1;2006;353;340;0
"530";1329;0;2;2;3;2006;353;500;1
"531";1330;1;1;1;2;2006;353;381;0,622837370242215
"532";1334;0;1;0;1;2006;340;534;1
"533";1335;0;1;1;2;2006;340;486;1
"534";1336;1;2;3;3;2006;340;452;1
"535";1337;3;4;4;4;2006;340;434;1
"536";1338;2;2;1;2;2006;340;389;0,0369565217391304
"537";1339;0;1;1;1;2006;340;437;0
"538";1340;2;1;0;2;2006;340;364;0,155090655509066
"539";1341;3;4;4;4;2006;340;376;0
"540";1344;3;5;0;5;2006;340;379;0
"541";1350;0;0;1;1;2006;340;490;1
"542";1351;0;1;1;2;2006;340;452;1
"543";1352;0;0;3;3;2006;340;406;1
"544";1353;0;1;0;1;2006;340;378;1
"545";1357;2;2;2;3;2006;340;567;1
"546";1359;1;1;1;1;2006;340;504;1
"547";1368;3;3;3;3;2006;352;156;0
"548";1369;1;4;3;4;2006;352;151;0
"549";1370;1;1;1;1;2006;352;152;0
"550";1371;2;3;3;3;2006;352;151;0
"551";1372;3;3;4;5;2006;352;162;0
"552";1373;1;1;1;1;2006;352;168;0
"553";1375;3;3;3;3;2006;352;168;0
"554";1376;3;1;1;3;2006;352;166;0
"555";1377;3;3;2;3;2006;352;164;0,00015271838729383
"556";1378;2;2;3;3;2006;352;174;0
"557";1379;1;1;1;1;2006;352;163;0
"558";1380;1;1;1;1;2006;352;167;0
