"ACTR"	"CIMA"	"COCH"	"COCO"	"COFR"	"ESAS"	"FOMA"	"FRPO"	"GEST"	"HYBO"	"MAMA"	"PADO"	"PEAS"	"PHBO"	"PLCU"	"PYJO"	"SATE"	"STPI"	"TEBO"	"TUNI"	"ZOBO"	"ZOOL"
"177"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
"178"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
"179"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
"180"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0
"181"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
"182"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"183"	2	0	0	0	0	0	9	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0
"184"	4	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"185"	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"186"	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"187"	2	0	0	0	3	0	0	5	4	0	0	0	0	0	1	1	0	0	0	0	5	0
"188"	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"189"	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"190"	0	0	0	0	0	2	8	0	1	0	0	0	0	0	2	2	0	0	0	0	10	0
"191"	0	0	0	0	0	2	7	0	0	0	0	0	0	0	1	1	0	2	0	0	2	0
"192"	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
"193"	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"194"	2	0	0	0	0	1	3	0	0	0	0	0	2	0	0	3	0	0	0	2	0	0
"195"	8	0	0	0	0	0	6	0	0	0	0	2	2	0	3	2	0	0	0	0	0	0
"196"	4	0	0	0	0	4	10	0	2	0	0	2	2	0	2	0	0	0	0	0	0	0
"197"	3	0	0	0	0	3	5	0	1	0	0	0	6	0	5	1	0	0	0	0	1	0
"198"	2	0	0	0	0	0	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
"199"	1	0	0	0	0	0	8	0	3	0	0	0	0	0	0	4	0	0	0	1	4	0
"200"	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	1	6	0
"201"	4	0	0	0	0	0	9	0	0	0	0	0	1	0	5	2	0	0	0	0	2	0
"202"	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"203"	6	0	0	0	0	0	4	0	0	0	0	0	0	0	15	0	0	0	0	0	4	0
"204"	0	0	0	0	0	0	5	0	0	0	0	0	2	0	1	0	0	0	0	0	7	0
"205"	0	0	0	0	0	0	8	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0
"206"	3	0	0	0	0	0	6	0	4	0	0	0	11	0	0	0	0	0	0	0	2	0
"207"	0	0	0	0	0	0	3	0	6	0	0	0	0	0	2	0	2	0	0	0	3	0
"208"	5	0	0	0	0	0	6	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0
"209"	0	0	0	0	0	0	6	0	5	0	0	1	7	0	0	0	0	0	0	0	0	0
"210"	2	0	0	0	0	0	7	0	3	0	0	0	0	0	1	1	0	0	0	0	6	0
"211"	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5	0	0	0	0	0	9	0
"212"	5	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
"213"	4	0	0	0	0	0	7	0	2	0	0	0	2	0	0	1	0	0	0	2	3	0
"214"	1	0	0	0	0	0	2	0	3	0	0	0	4	0	4	0	5	0	0	0	2	0
"215"	2	0	0	0	0	0	2	0	1	0	0	0	8	0	6	0	0	1	0	0	4	0
"216"	0	0	0	0	0	0	3	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
"217"	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
"218"	0	0	0	0	0	0	7	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
"219"	5	0	0	0	0	0	6	0	3	0	0	0	0	0	10	0	0	0	0	0	0	0
"220"	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"221"	3	0	0	0	0	0	3	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
"222"	1	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"223"	5	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"224"	3	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"225"	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"226"	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0
"227"	0	0	0	0	0	0	7	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0
"228"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"229"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"230"	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"231"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"232"	2	0	0	0	0	0	4	0	2	0	0	2	0	0	0	0	2	0	0	0	2	0
"233"	2	0	0	0	0	4	6	0	1	0	0	0	0	0	0	0	2	0	0	0	4	0
"234"	2	0	0	0	0	0	6	0	1	0	0	2	0	0	0	0	4	2	0	0	2	0
"235"	3	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	4	2	0	0	4	0
"236"	1	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	4	2	2	0	9	0
"237"	5	0	0	6	0	2	8	0	0	0	1	0	0	0	0	0	1	2	0	0	0	2
