"PLOT"	"X5_min"	"X10_min"	"X15_min"	"total"	"year"	"julian_date"	"altitude"	"PROPNATFOR"
1030	1	1	0	1	2006	299	249	0.216940363007779
1031	1	2	3	3	2006	299	467	0.211385701676964
1032	0	2	0	2	2006	299	635	0.576923076923077
1033	0	3	2	3	2006	299	625	0.659367396593674
1034	2	2	2	2	2006	299	606	0.226676946800308
1035	2	2	0	3	2006	299	176	0.972537878787879
1042	0	0	1	1	2006	305	189	1
1043	0	0	2	2	2006	305	362	0.790201501382853
1044	2	1	2	4	2006	305	353	0.795533307662688
1045	0	2	2	2	2006	305	313	1
1049	1	1	2	2	2006	313	225	1
1050	3	3	3	4	2006	313	197	0
1053	0	1	2	2	2006	313	215	1
1054	0	0	1	1	2006	313	154	1
1055	3	3	3	3	2006	303	13	0.0246913580246914
1057	1	2	2	2	2006	303	298	0
1058	1	1	1	1	2006	303	420	0.0472911759376699
1059	1	1	1	2	2006	303	361	0.0344552560216941
1060	4	5	5	5	2006	303	238	0.114897413024086
1061	1	1	1	1	2006	318	120	0.704311331552842
1062	1	0	0	1	2006	318	92	0.691851851851852
1064	1	1	1	1	2006	318	672	0.421845574387947
1067	1	2	0	2	2006	319	214	0.643540669856459
1070	3	2	2	4	2006	318	143	0.663563267033432
1071	2	1	1	3	2006	318	141	0.586779661016949
1074	1	1	0	1	2006	319	258	0.563953488372093
1075	1	1	0	1	2006	319	624	1
1076	0	0	1	1	2006	319	241	0.47485536270583
1077	1	1	2	2	2006	319	312	0.947698744769874
1078	1	0	2	2	2006	319	474	0.7206132879046
1080	2	2	2	3	2006	317	504	1
1084	1	1	2	2	2006	317	434	1
1085	0	0	1	1	2006	317	222	0.634097706879362
1086	1	0	0	1	2006	317	194	0.300062383031815
1089	0	1	0	1	2006	319	146	0.928184281842818
1091	1	1	2	2	2006	317	494	1
1092	1	0	0	1	2006	317	493	1
1093	0	1	0	1	2006	317	322	0.478758169934641
1094	0	1	1	2	2006	317	447	0.948921679909194
1095	0	1	2	2	2006	318	221	0.620879120879121
1096	1	2	1	2	2006	318	211	0.563451776649746
1097	2	2	1	3	2006	319	180	1
1098	4	4	4	4	2006	330	8	0
1099	1	1	2	2	2006	324	4	0
1100	0	1	0	1	2006	324	3	0
1102	2	1	2	2	2006	324	5	0.229761347683669
1103	3	2	2	3	2006	324	5	0
1104	1	0	1	2	2006	324	2	0
1105	1	1	0	1	2006	325	47	1
1108	1	1	1	1	2006	325	446	1
1113	1	2	0	2	2006	325	35	1
1126	2	3	2	3	2006	327	163	0.788659793814433
1127	1	0	0	1	2006	327	253	0.888762769580023
1131	0	0	1	1	2006	327	189	0
1132	1	1	3	3	2006	327	28	0
1133	1	1	2	2	2006	327	235	1
1134	0	0	1	1	2006	327	20	0
1136	1	2	1	2	2006	327	222	0.954707985697259
1141	1	1	0	1	2006	327	65	0
1142	1	0	0	1	2006	327	305	0.983633387888707
1145	0	0	1	1	2006	331	190	0
