"";"Nom";"Annee";"Abroutissement";"Densite_lin";"Frequentation";"Altitude";"Pente";"Tirs";"X";"Y";"fabr";"lfrequentation";"resid.gam";"resid.gam.spat"
"547";"HAUTES BAUGES";2017;1;2,37654042243958;20;1446,87634277344;13,6093006134033;7;953379,318231662;6513052,02582599;"1";3,04452243772342;1,03878426645606;0,937366323410958
"564";"HAUTES BAUGES";2017;1;3,88986134529114;10343;1085,92883300781;6,44323968887329;0;951846,267761075;6510224,74815914;"1";9,24416192045169;1,09293443767149;0,895446287416891
"567";"HAUTES BAUGES";2017;0;7,3525505065918;7444;696,968566894531;9,43842506408691;2;944138,111011302;6513128,68935871;"0";8,91529794511811;-1,00229370120671;-0,638445237954854
"569";"HAUTES BAUGES";2017;0;5,37152814865112;353;1050,36938476562;20,0503005981445;0;943894,514527599;6505381,62851544;"0";5,86929691313377;-1,04478022825849;-1,08058963573515
"571";"HAUTES BAUGES";2017;0;6,83412075042725;161;944,90087890625;17,3827037811279;0;944049,985177386;6505568,12258849;"0";5,08759633523238;-1,14562935379004;-1,1802074394487
"574";"HAUTES BAUGES";2017;0;11,0698585510254;4355;1366,92346191406;31,4983234405518;0;952714,790788907;6510374,12073317;"0";8,37930948405285;-1,59266852783733;-1,43334837139139
"583";"HAUTES BAUGES";2017;1;2,27199983596802;161;1214,45751953125;23,9719715118408;0;947939,79429617;6512784,20025871;"1";5,08759633523238;1,16588781878213;1,45182321488174
"593";"HAUTES BAUGES";2017;1;10,360447883606;3224;913,197021484375;20,7983379364014;1;948442,66122265;6510154,17926379;"1";8,07868822922987;1,26354276136387;1,22607549944655
"600";"HAUTES BAUGES";2017;1;8,31174278259277;5181;1048,33325195312;23,245626449585;0;948538,965714598;6510083,41082568;"1";8,55294636112206;1,16856672606204;1,27493593614378
"607";"HAUTES BAUGES";2017;0;7,53549337387085;27;1172,99072265625;17,9788722991943;1;947826,493423856;6509028,48854826;"0";3,3322045101752;-1,42442405191464;-1,36135435079502
"611";"HAUTES BAUGES";2017;1;3,43664646148682;9019;1351,28637695312;22,1925430297852;0;952271,200466798;6511650,8236463;"1";9,10719961305667;1,23213434746036;1,13747146446941
"619";"HAUTES BAUGES";2017;0;7,05033874511719;7380;998,349792480469;20,0973834991455;1;949850,865956872;6509974,1880767;"0";8,90666440977005;-1,00140593420812;-1,18635079867496
"648";"HAUTES BAUGES";2017;0;12,0625600814819;24455;911,131225585938;3,74855923652649;1;949201,917980494;6509334,35204642;"0";10,1046308635707;-1,38702943256437;-1,38192236787201
"660";"HAUTES BAUGES";2017;1;4,07089900970459;10583;1008,83837890625;6,97481441497803;1;951038,437075247;6510277,67282907;"1";9,26709870579479;1,21408004418231;0,990047401439942
"663";"HAUTES BAUGES";2017;1;5,08478927612305;402;1371,76281738281;10,3604421615601;0;953181,401372015;6512230,45735933;"1";5,99893656194668;0,84367426646574;0,809223944259111
"669";"HAUTES BAUGES";2017;0;6,48564624786377;315;1038,85559082031;24,36594581604;3;947191,430350914;6508260,64525403;"0";5,75574221358691;-1,00650289658709;-1,1104856141342
"679";"HAUTES BAUGES";2017;1;4,53588628768921;20;1366,47631835938;25,6662750244141;0;948497,644919488;6507955,64610046;"1";3,04452243772342;0,98763746770255;0,957542618144441
"681";"HAUTES BAUGES";2017;1;4,53588628768921;20;1366,47631835938;25,6662750244141;0;948493,829492725;6508092,55802442;"1";3,04452243772342;0,98763746770255;0,966375181996254
"685";"HAUTES BAUGES";2017;0;4,26640605926514;15;1350,19738769531;24,4630508422852;0;948477,956458715;6508453,37616938;"0";2,77258872223978;-1,35822251890254;-1,39874139345031
"687";"HAUTES BAUGES";2017;1;11,0178308486938;3944;1236,23596191406;24,6648292541504;0;952765,114581368;6510880,24007165;"1";8,28020423327997;0,982805988848294;0,910845087749911
"688";"HAUTES BAUGES";2017;0;5,83307981491089;5695;1358,27160644531;14,1710348129272;1;953338,862245658;6511952,34325007;"0";8,64751945309181;-1,32749402038582;-1,42261930183736
"696";"HAUTES BAUGES";2017;0;11,0178308486938;3944;1236,23596191406;24,6648292541504;0;952861,289366164;6510678,58781756;"0";8,28020423327997;-1,38536022563187;-1,49430504171776
"701";"HAUTES BAUGES";2017;1;9,44789123535156;2791;936,078552246094;20,9074268341064;2;948467,302245006;6509187,81947795;"1";7,93451346388226;1,27410385680124;1,19176499658029
"705";"HAUTES BAUGES";2017;1;4,47196960449219;197;1253,65051269531;33,6530265808105;2;950725,089652166;6509625,95183284;"1";5,28826703069454;1,1208376989943;1,06048797755382
"714";"HAUTES BAUGES";2017;1;8,16058158874512;172;1360,63940429688;16,9687252044678;9;952991,21868536;6511378,84908515;"1";5,15329159449778;1,09577041649963;0,968000026545078
"722";"HAUTES BAUGES";2017;1;9,8097505569458;192;930,688903808594;17,0004501342773;0;946050,518612264;6506762,81099092;"1";5,26269018890489;1,04697269211608;1,02811428134584
"724";"HAUTES BAUGES";2017;0;8,78401756286621;263;992,708068847656;23,1984939575195;0;945606,997047912;6506309,03804151;"0";5,57594910314632;-1,27174767557875;-1,22331778831407
"727";"HAUTES BAUGES";2017;0;6,56247711181641;163;892,483032226562;23,6613025665283;1;945127,934542291;6505209,14378728;"0";5,0998664278242;-0,990034464508984;-1,22564445430208
"729";"HAUTES BAUGES";2017;0;4,95073127746582;3890;1153,40197753906;26,6348476409912;0;948757,488795946;6511209,53252023;"0";8,26642147298455;-1,03750777810398;-0,966370059577522
"739";"HAUTES BAUGES";2017;1;11,0698585510254;4355;1366,92346191406;31,4983234405518;0;952715,18734924;6510535,97455567;"1";8,37930948405285;0,81280471680427;0,951356117411687
"748";"HAUTES BAUGES";2017;0;8,11221408843994;9447;1172,89916992188;19,359712600708;0;952272,524693122;6510645,69820207;"0";9,1535583578772;-1,27869261630625;-1,39990245306765
"781";"HAUTES BAUGES";2017;0;6,42924165725708;940;785,604370117187;22,7063941955566;7;945156,699311445;6513184,85495668;"0";6,84694313958538;-0,655656305717572;-0,576787398093581
"787";"HAUTES BAUGES";2017;0;6,67410850524902;588;799,551147460938;19,4619331359863;0;944834,496296976;6513708,17364431;"0";6,37842618365159;-0,937752679209937;-0,691918099692218
"791";"HAUTES BAUGES";2017;0;4,82428359985352;73;856,935852050781;19,2481555938721;2;944416,598933883;6512170,13124959;"0";4,30406509320417;-0,852913040635967;-0,760641462237176
"795";"HAUTES BAUGES";2017;0;5,44038677215576;51;780,683349609375;17,1056079864502;1;944495,883843911;6512559,10501515;"0";3,95124371858143;-0,904851816277485;-0,811602850471042
"799";"HAUTES BAUGES";2017;1;6,83412075042725;161;944,90087890625;17,3827037811279;0;944299,572352408;6505777,7844765;"1";5,08759633523238;1,20952559974884;1,16477057896162
