;species;xcoord;ycoord
17692;TIMLEP;685560.088;6180829.596
17693;TIMLEP;684860.9278;6181654.215
17694;TIMLEP;686070.0322;6183075.093
17695;TIMLEP;685935.5796;6183442.401
17696;TIMLEP;689853.3456;6193766.692
17697;TIMLEP;690169.8872;6188817.368
17698;TIMLEP;689475.7752;6159620.559
17699;TIMLEP;690293.701;6189462.209
17700;TIMLEP;690397.5678;6189373.084
17701;TIMLEP;691214.1296;6190061.433
17702;TIMLEP;698682.8937;6173972.504
17703;TIMLEP;698781.4966;6173796.986
17704;TIMLEP;698765.6272;6173709.238
17705;TIMLEP;698684.5703;6173554.81
17706;TIMLEP;698793.8414;6173877.713
17707;TIMLEP;698681.1326;6173973.973
17708;TIMLEP;697886.4928;6189317.276
17709;TIMLEP;663427.3689;6177556.464
17710;TIMLEP;695090.3617;6183816.536
17711;TIMLEP;706562.8041;6150719.557
17712;TIMLEP;706528.1326;6150674.352
17713;TIMLEP;762979.8337;6299356.303
17714;TIMLEP;643303.2325;6235173.925
17715;TIMLEP;704678.0654;6221098.085
17716;TIMLEP;704689.0884;6221303.935
17717;TIMLEP;702647.5019;6155297.374
17718;TIMLEP;704542.7641;6220997.908
17719;TIMLEP;702559.5922;6155718.701
17720;TIMLEP;691188.3268;6232370.128
17721;TIMLEP;691108.0922;6232411.981
17722;TIMLEP;690537.7919;6231546.593
17723;TIMLEP;735101.5205;6253536.931
17724;TIMLEP;734943.2426;6253325.173
17725;TIMLEP;734776.2095;6253237.07
17726;TIMLEP;670373.1538;6177829.715
17727;TIMLEP;686937.6812;6234025.63
17728;TIMLEP;734837.2469;6253352.079
17729;TIMLEP;683482.8732;6167827.659
17730;TIMLEP;683476.3949;6167803.703
17731;TIMLEP;683402.2667;6167772.272
17732;TIMLEP;683395.2326;6167779.317
17733;TIMLEP;713426.0281;6290404.773
17734;TIMLEP;736662.7292;6279861.811
17735;TIMLEP;704822.9442;6287618.232
17736;TIMLEP;740547.7194;6270603.773
17737;TIMLEP;748690.0837;6277505.06
17738;TIMLEP;713794.8945;6287357.513
17739;TIMLEP;713802.4442;6287371.977
17740;TIMLEP;714636.8182;6287382.509
17741;TIMLEP;714570.242;6287435.478
17742;TIMLEP;757571.5374;6295079.15
17743;TIMLEP;741281.1648;6270315.598
17744;TIMLEP;704740.7436;6275818.903
17745;TIMLEP;714308.4691;6287537.684
17746;TIMLEP;714304.1184;6287607.577
17747;TIMLEP;741297.3424;6270352.492
17748;TIMLEP;724426.3681;6283327.061
17749;TIMLEP;733647.9115;6276246.083
17750;TIMLEP;743384.448;6269390.893
